Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805,-14.287512,-36.314093,180,bottom
C2,0.1u,C_0805,-41.67191,-39.885971,180,bottom
C3,0.1u,C_0805,-31.551589,-52.982857,135,bottom
C4,0.1u,C_0805,-38.695345,-32.146902,180,bottom
C5,0.1u,C_0805,-19.050016,-37.504719,0,bottom
C6,4.7u,C_0805,-19.050016,-35.123467,0,bottom
D1,D,D_0805,-36.314093,-10.715634,90,bottom
D2,D,D_0805,-39.885971,-10.715634,90,bottom
D3,D,D_0805,-55.364109,-10.715634,90,bottom
D4,D,D_0805,-58.935987,-10.715634,90,bottom
D5,D,D_0805,-77.986003,-10.715634,90,bottom
D6,D,D_0805,-97.036019,-10.715634,90,bottom
D7,D,D_0805,-116.086035,-10.715634,90,bottom
D8,D,D_0805,-135.136051,-10.715634,90,bottom
D9,D,D_0805,-154.186067,-10.715634,90,bottom
D10,D,D_0805,-173.236083,-10.715634,90,bottom
D11,D,D_0805,-192.286099,-10.715634,90,bottom
D12,D,D_0805,-211.336115,-10.715634,90,bottom
D13,D,D_0805,-230.386131,-10.715634,90,bottom
D14,D,D_0805,-249.436147,-10.715634,90,bottom
D15,D,D_0805,-245.864269,-10.715634,90,bottom
D16,D,D_0805,-6.548443,-29.76565,90,bottom
D17,D,D_0805,-45.839101,-29.76565,90,bottom
D18,D,D_0805,-49.410979,-29.76565,90,bottom
D19,D,D_0805,-68.460995,-29.76565,90,bottom
D20,D,D_0805,-87.511011,-29.76565,90,bottom
D21,D,D_0805,-106.561027,-29.76565,90,bottom
D22,D,D_0805,-125.611043,-29.76565,90,bottom
D23,D,D_0805,-144.661059,-29.76565,90,bottom
D24,D,D_0805,-163.711075,-29.76565,90,bottom
D25,D,D_0805,-182.761091,-29.76565,90,bottom
D26,D,D_0805,-201.811107,-29.76565,90,bottom
D27,D,D_0805,-220.861123,-29.76565,90,bottom
D28,D,D_0805,-239.911139,-29.76565,90,bottom
D29,D,D_0805,-236.339261,-29.76565,90,bottom
D31,D,D_0805,-53.57817,-48.815666,90,bottom
D32,D,D_0805,-50.601605,-48.815666,90,bottom
D33,D,D_0805,-69.651621,-48.815666,90,bottom
D34,D,D_0805,-73.223499,-48.815666,90,bottom
D35,D,D_0805,-92.273515,-48.815666,90,bottom
D36,D,D_0805,-111.323531,-48.815666,90,bottom
D37,D,D_0805,-145.851685,-48.815666,90,bottom
D38,D,D_0805,-149.423563,-48.815666,90,bottom
D39,D,D_0805,-168.473579,-48.815666,90,bottom
D40,D,D_0805,-187.523595,-48.815666,90,bottom
D41,D,D_0805,-206.573611,-48.815666,90,bottom
D42,D,D_0805,-225.623627,-48.815666,90,bottom
D43,D,D_0805,-244.673643,-48.815666,90,bottom
D44,D,D_0805,-272.058041,-48.815666,90,bottom
D46,D,D_0805,-41.076597,-67.865682,90,bottom
D47,D,D_0805,-44.648475,-67.865682,90,bottom
D48,D,D_0805,-60.126613,-67.865682,90,bottom
D49,D,D_0805,-63.698491,-67.865682,90,bottom
D50,D,D_0805,-82.748507,-67.865682,90,bottom
D51,D,D_0805,-101.798523,-67.865682,90,bottom
D52,D,D_0805,-120.848539,-67.865682,90,bottom
D53,D,D_0805,-139.898555,-67.865682,90,bottom
D54,D,D_0805,-158.948571,-67.865682,90,bottom
D55,D,D_0805,-177.998587,-67.865682,90,bottom
D56,D,D_0805,-197.048603,-67.865682,90,bottom
D57,D,D_0805,-216.098619,-67.865682,90,bottom
D58,D,D_0805,-242.292391,-67.865682,90,bottom
D59,D,D_0805,-268.486163,-67.865682,90,bottom
D61,D,D_0805,-45.839101,-86.915698,90,bottom
D62,D,D_0805,-51.792231,-86.915698,90,bottom
D63,D,D_0805,-69.651621,-86.915698,90,bottom
D67,D,D_0805,-150.614189,-86.915698,90,bottom
D71,D,D_0805,-210.145489,-86.915698,90,bottom
D72,D,D_0805,-216.098619,-86.915698,90,bottom
D73,D,D_0805,-239.911139,-86.915698,90,bottom
D74,D,D_0805,-233.958009,-86.915698,90,bottom
F1,Polyfuse,R_0805,-15.478138,-17.85939,90,bottom
H1,B0,free_pin,-4.524382,-36.909406,0,bottom
J1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,-18.568,0.62,0,bottom
J2,ISP,isp_standard,-8.334382,-36.909406,180,bottom
J3,ai03_ud,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,-31.551589,-18.454703,-90,bottom
LS1,Speaker,speaker_AST1109MLTRQ,-163.711075,-85.725072,0,bottom
R1,22,R_0805,-17.85939,-17.264077,90,bottom
R2,22,R_0805,-20.240642,-17.264077,-90,bottom
R3,5.1k,R_0805,-15.478138,-13.096886,90,bottom
R4,5.1k,R_0805,-22.621894,-13.096886,-90,bottom
R5,10k,R_0805,-14.287512,-38.695345,180,bottom
R6,10k,R_0805,-34.489688,-52.349078,135,bottom
SW1,SW_PUSH,SW_SPST_TL3342,-19.050016,-54.173483,0,bottom
U1,ATmega32U4,ATMEGA32U4,-29.76565,-41.67191,-45,bottom
U2,USBLC6-2SC6,USBLC6-2SC6,-19.050016,-12.501573,0,bottom
X1,XTAL_GND,Resonator_SMD_muRata_CSTNExxV-3Pin-p1.2,-38.695345,-35.123467,90,bottom
