"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K19,K20,K23,K24,K17,K22,K21,K18,K8,K10,K14,K5,K13,K12,K11,K9,K7,K6,K4,K2,K1,K3,K62-1,K53,K57,K54,K56,K52,K55,K15-1,K28,K48,K25,K36,K33,K59,K39,K27,K50,K34,K47,K43,K38,K35,K32,K40,K42,K41,K26,K37,K51,K73-1,K49";"CHERRY_PLATE_100H";53;"KEYSW";;;
2;"K16,K61-1,K29,K63-1,K72-1,K74-1";"CHERRY_PLATE_150H";6;"KEYSW";;;
3;"K15";"CHERRY_PCB_200H";1;"KEYSW";;;
4;"K71,K31-1,K46-1,K74,K73,K63,K72,K61,K62";"CHERRY_PLATE_125H";9;"KEYSW";;;
5;"K58-1,K31";"CHERRY_PLATE_175H";2;"KEYSW";;;
6;"K44";"CHERRY_PCB_225H_F";1;"KEYSW";;;
7;"K46";"CHERRY_PCB_225H";1;"KEYSW";;;
8;"S4,S5";"10x5_7x2.5mm";2;"Screw";;;
9;"K58";"CHERRY_PCB_275H";1;"KEYSW";;;
10;"K67";"CHERRY_PCB_625H_F";1;"KEYSW";;;
11;"S8,S7,S9";"5.5_5x2.5mm";3;"Tofu screw";;;
12;"S2,S1,S3,S6";"5.5_5x2.5mm";4;"Screw";;;
13;"K67-1";"CHERRY_PCB_700H_F";1;"KEYSW";;;
14;"K44-1";"CHERRY_PCB_200H_V";1;"KEYSW";;;
15;"D73,D72,D71,D67,D63,D59,D58,D57,D56,D53,D51,D50,D27,D42,D18,D25,D41,D36,D31,D40,D37,D32,D34,D21,D26,D22,D24,D43,D38,D35,D48,D54,D44,D62,D39,D20,D28,D33,D23,D55,D52,D19,D10,D14,D9,D13,D11,D15,D17,D16,D12,D7,D3,D5,D8,D6,D4,D74,D49,D46,D29,D1,D47,D2,D61";"D_0805";65;"D";;;
16;"U1";"ATMEGA32U4";1;"ATmega32U4";;;
17;"X1";"Resonator_SMD_muRata_CSTNExxV-3Pin-p1.2";1;"XTAL_GND";;;
18;"SW1";"SW_SPST_TL3342";1;"SW_PUSH";;;
19;"R6,R5";"R_0805";2;"10k";;;
20;"H1";"free_pin";1;"B0";;;
21;"R1,R2";"R_0805";2;"22";;;
22;"J1";"HRO-TYPE-C-31-M-12";1;"HRO-TYPE-C-31-M-12";;;
23;"C4,C5,C2,C3";"C_0805";4;"0.1u";;;
24;"F1";"R_0805";1;"Polyfuse";;;
25;"C1";"C_0805";1;"1u";;;
26;"R4,R3";"R_0805";2;"5.1k";;;
27;"U2";"USBLC6-2SC6";1;"USBLC6-2SC6";;;
28;"J2";"isp_standard";1;"ISP";;;
29;"J3";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"ai03_ud";;;
30;"LS1";"speaker_AST1109MLTRQ";1;"Speaker";;;
31;"C6";"C_0805";1;"4.7u";;;
